mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
205.60762691497803,1.9775031286517113,5.286919450759887,0.09222714747493721,10,1,2,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.393056835221814,0.3932003008551547,0.39139025478970874,0.39392162478605525,0.39346474554327765,0.3930067522392021,0.0008602073028830475,69
443.71185636520386,4.604465041652523,9.326089429855347,0.40818026914383926,10,1,2,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.39373178975543316,0.3936675620415384,0.39224023350818255,0.39426880401042097,0.3939107048695429,0.39356381883702357,0.0006940012995527782,50
688.5302584648132,5.571485504388126,13.720163917541504,0.3768772304070921,10,1,2,300,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.39387046017174826,0.3937383369186123,0.3919826155875776,0.3941755831156936,0.39425027397875184,0.3936034539544767,0.0008321430966613812,46
206.21324129104613,4.419343026393698,5.198627233505249,0.43674415185528936,10,1,5,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.393455316016831,0.39370386541911434,0.3922870857310121,0.3951804030074821,0.39471303693977083,0.3938679414228421,0.0010132153989123045,43
446.593011713028,3.7611927299294705,9.630034589767456,0.4176709426412552,10,1,5,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.3930344506003916,0.3935415183555726,0.3920900756075065,0.3946358906540217,0.394242529137702,0.3935088928710389,0.0008997275690259909,54
689.6527282714844,3.2987200347814056,13.244525003433228,0.38084025258252713,10,1,5,300,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 300}",0.39316532812271077,0.3938652902801209,0.3924067017273392,0.3942506349608737,0.3942673752704671,0.3935910660723023,0.0007143662743704589,49
230.30350947380066,18.39998201346942,5.265031480789185,0.16003027585196128,10,1,10,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 100}",0.3936988200349998,0.3939599129912654,0.39151847713101356,0.39383309679791784,0.3928535788021182,0.3931727771514629,0.0009133369723162273,68
488.77010159492494,2.501014221884236,9.875600814819336,1.2975563275837925,10,1,10,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.3932179053949348,0.39411847575017545,0.3920333991049503,0.394066496589531,0.3935394538544415,0.3933951461388066,0.0007590139836218286,66
732.7031590461731,4.540207449713974,13.922792100906372,0.6453020295025124,10,1,10,300,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 300}",0.3932145317394872,0.39416271502840744,0.3919224005729041,0.39385354027432085,0.39425850659909806,0.39348233884284356,0.0008611929740879397,59
252.6612597465515,1.9052929418500766,5.964984560012818,1.365620902314567,10,2,2,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.39348837107203116,0.39478625259804145,0.3914441971914999,0.39461709502485026,0.3949632750071923,0.393859838178723,0.0013132070386847805,44
492.99560322761533,4.264869422793348,9.110513305664062,0.5108034907283321,10,2,2,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.39293430711038346,0.39432786504510214,0.3920273851567897,0.39391571299746736,0.3942298225771211,0.3934870185773727,0.0008807473143166319,58
736.666713142395,5.022343018596764,14.27770962715149,0.2863370441664842,10,2,2,300,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.39328022556001146,0.39399475832693315,0.39218076691389214,0.393795972001546,0.3940706674274468,0.3934644780459659,0.0006986292628253539,63
