mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
18.57911868095398,0.012439591732161434,1.8171627044677734,0.024907578570927073,0.01,3,100,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__max_iter': 100}",0.3714215651364663,0.37282571728327873,0.36939554751447207,0.3720302382341658,0.37240656897027913,0.3716159274277324,0.0012023495870325878,36
31.4458957195282,0.12001081360320273,3.0836981296539308,0.034816831019634405,0.01,3,200,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__max_iter': 200}",0.3816249715378495,0.38108146631374346,0.37999583029790607,0.3809131691740904,0.38132568144917833,0.38098822375455355,0.000551089388916776,35
44.455110502243045,0.2685985400223784,4.471576452255249,0.0745474319933944,0.01,3,300,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__max_iter': 300}",0.38672396690150723,0.38732216571357164,0.3855582237986456,0.38703834407014437,0.38695245989799415,0.3867190320763726,0.0006111823118731432,33
22.590613269805907,0.13678789667314978,2.0433565616607665,0.029921641905304212,0.01,5,100,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__max_iter': 100}",0.384108038753993,0.3835750556797696,0.38166199718690424,0.3815072812606763,0.38400956505544576,0.3829723875873578,0.001148242923103261,34
39.51553726196289,0.19821043258741752,3.6402256965637205,0.053224708779030565,0.01,5,200,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__max_iter': 200}",0.3900148019692866,0.3913218162342537,0.3891054484764214,0.3902590848020157,0.39050391399067214,0.3902410130945299,0.000718088764669715,31
55.810510063171385,0.37947090390570765,5.331539916992187,0.07833199963905245,0.01,5,300,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__max_iter': 300}",0.3955590550512211,0.39644329962591485,0.3942696502229894,0.3960037279150013,0.39598285513768383,0.3956517175905621,0.0007455014442675919,28
25.12068772315979,0.25536655054262125,2.2663663387298585,0.08476005459059868,0.01,7,100,"{'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__max_iter': 100}",0.3870337222288816,0.3888953104023029,0.38555466402608074,0.38729681836366936,0.38810599835241427,0.38737730267466974,0.0011208819511699785,32
44.70047173500061,0.14472095132180604,4.103051376342774,0.11736983039468961,0.01,7,200,"{'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__max_iter': 200}",0.3932963043294257,0.3952299427917092,0.39151409273958243,0.3937972162148842,0.3938391896861228,0.3935353491523449,0.0011979282903814598,29
62.760894775390625,0.5621184832778048,5.937698698043823,0.0859941320415732,0.01,7,300,"{'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__max_iter': 300}",0.39803640241255617,0.39893511662107506,0.39620016878381065,0.3981301706612292,0.3989763823718057,0.39805564817009537,0.0010069701068317154,25
17.411882400512695,0.06091950060562562,1.7802327156066895,0.04219217862320779,0.05,3,100,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__max_iter': 100}",0.3926194985983609,0.39299070741639186,0.3899080481503119,0.3917986091151258,0.3929717820540633,0.3920577290668507,0.0011584297702486007,30
29.80500249862671,0.2035172416020962,3.1658435821533204,0.14305882891738753,0.05,3,200,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__max_iter': 200}",0.39800090143318045,0.3983994591680678,0.39615589497464027,0.39752338666765846,0.39852584539345987,0.39772109752740137,0.0008573251990199205,27
41.95985040664673,0.24160351833288338,4.450106954574585,0.03787116458492387,0.05,3,300,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__max_iter': 300}",0.4001867147115184,0.4008872532591339,0.3986406353726379,0.4002157147455356,0.4013248781639029,0.4002510392505457,0.0009117767702151438,24
20.929642629623412,0.12933131995207214,2.107861948013306,0.054112546850563825,0.05,5,100,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__max_iter': 100}",0.40038616434777624,0.4012629371005659,0.3995145407331266,0.40072725255899694,0.40218973143387066,0.4008161252348672,0.0008914394836875462,23
35.06305017471313,1.4914751366348278,3.654509687423706,0.18899641569810935,0.05,5,200,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__max_iter': 200}",0.4057138770886913,0.4060987925568245,0.40349857045556603,0.4062957096241863,0.4068667693026696,0.4056947438055876,0.0011594483636779755,16
37.69740371704101,4.907457520655372,3.996962308883667,0.6166945118847459,0.05,5,300,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__max_iter': 300}",0.40579610504518265,0.4060987925568245,0.40349857045556603,0.4084106224609397,0.4078640427389619,0.4063336266514949,0.001734226349504338,10
22.79037003517151,0.12441075684448348,2.225481939315796,0.06803090648997012,0.05,7,100,"{'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__max_iter': 100}",0.40183800303156175,0.4030798081339868,0.40107073538127375,0.40243957716257045,0.40337036436276086,0.4023596976144307,0.0008342632744004013,21
36.05405979156494,1.866608490667248,3.4777386665344237,0.1394041874360242,0.05,7,200,"{'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__max_iter': 200}",0.4066526272854394,0.4077722595621959,0.40498648339718396,0.4071823454955707,0.40819575486043475,0.406957894120165,0.0011158419945910727,7
36.53946738243103,2.316969934269524,3.5475632190704345,0.211595094240433,0.05,7,300,"{'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__max_iter': 300}",0.4069426484118856,0.4077722595621959,0.40498648339718396,0.4071823454955707,0.40902142448184775,0.40718103226973684,0.0013122093238516666,6
17.097492742538453,0.16585873142927002,1.77109055519104,0.026425559371125954,0.1,3,100,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__max_iter': 100}",0.3976309087678744,0.39837394927969666,0.3963732277405965,0.3974963636218795,0.39894480534575183,0.3977638509511598,0.0008706238294199406,26
29.291934537887574,0.13869130492084256,3.0824634075164794,0.07637085415831855,0.1,3,200,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__max_iter': 200}",0.4017871152159274,0.4033858714272822,0.40009814820685746,0.40223624037601446,0.4035956535873335,0.40222060576268304,0.0012602845044442433,22
39.41740531921387,3.761933354145615,4.1637983322143555,0.47712529809712273,0.1,3,300,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__max_iter': 300}",0.40357622664851744,0.4051034690584135,0.4025383972348974,0.4025387531756233,0.40568716953290274,0.40388880313007086,0.0013002668998597327,19
20.074126720428467,0.1416542949729758,2.0256906509399415,0.01383400959769663,0.1,5,100,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__max_iter': 100}",0.40578454720145984,0.40755431014250415,0.40477018312528523,0.4057904242599724,0.4073602913088039,0.4062519512076051,0.0010537235741284769,11
25.166106939315796,2.5235026820679156,2.6201769351959228,0.28869199611581575,0.1,5,200,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__max_iter': 200}",0.4066494466841731,0.40882381217282954,0.4070078899175833,0.40922190800825087,0.40936789873871793,0.40821419110431095,0.00115080495000761,1
25.217923164367676,2.4946105373254106,2.6342191219329836,0.27744406673863253,0.1,5,300,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__max_iter': 300}",0.4066494466841731,0.40882381217282954,0.4070078899175833,0.40922190800825087,0.40936789873871793,0.40821419110431095,0.00115080495000761,1
18.979619836807252,1.4617361096766754,1.8565927505493165,0.1488735428165717,0.1,7,100,"{'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__max_iter': 100}",0.40703293048200423,0.40675927386249705,0.4062325554294804,0.4061518222194438,0.40442228212478853,0.40611977282364287,0.0009097296565867536,12
19.627217531204224,2.4123261463312966,1.8959561347961427,0.21213152697970916,0.1,7,200,"{'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__max_iter': 200}",0.40817783117551065,0.40675927386249705,0.4068381438536393,0.4061518222194438,0.40442228212478853,0.4064698706471758,0.001219039138123295,8
19.630387163162233,2.426399309072533,1.8908540248870849,0.23337755717586756,0.1,7,300,"{'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__max_iter': 300}",0.40817783117551065,0.40675927386249705,0.4068381438536393,0.4061518222194438,0.40442228212478853,0.4064698706471758,0.001219039138123295,8
16.71149778366089,0.10085797674709805,1.7392598628997802,0.03512186513679092,0.2,3,100,"{'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__max_iter': 100}",0.40127394243524206,0.4047597423419305,0.40081572953191297,0.40274814014818366,0.403233320399621,0.40256617497137803,0.0014158994541379275,20
24.42129464149475,3.021780788305628,2.6453535079956056,0.3171732687419403,0.2,3,200,"{'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__max_iter': 200}",0.4046140657430266,0.4059100998208973,0.4026843310194533,0.40591747373023085,0.406020555638744,0.4050293051904704,0.0012820723574480958,17
24.424298429489134,2.7732748018493885,2.573043155670166,0.2716515353469878,0.2,3,300,"{'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__max_iter': 300}",0.4046140657430266,0.4059100998208973,0.4026843310194533,0.40591747373023085,0.406020555638744,0.4050293051904704,0.0012820723574480958,17
14.573503541946412,1.1344408762255223,1.5096356868743896,0.1497998432882023,0.2,5,100,"{'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__max_iter': 100}",0.40597427457176255,0.40807604593968944,0.4069870975597169,0.4096647909538598,0.4075633834277716,0.40765311849056,0.0012244057246128702,3
14.694354152679443,1.1628020284814966,1.512261962890625,0.16026722032480184,0.2,5,200,"{'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__max_iter': 200}",0.40597427457176255,0.40807604593968944,0.4069870975597169,0.4096647909538598,0.4075633834277716,0.40765311849056,0.0012244057246128702,3
14.683473491668702,1.2150384579387468,1.5162238121032714,0.12019713197342828,0.2,5,300,"{'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__max_iter': 300}",0.40597427457176255,0.40807604593968944,0.4069870975597169,0.4096647909538598,0.4075633834277716,0.40765311849056,0.0012244057246128702,3
11.868243789672851,0.798319693645738,1.1371055126190186,0.08108995468490734,0.2,7,100,"{'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__max_iter': 100}",0.4049876399754213,0.40761660130066585,0.4028758876413692,0.4066405958087915,0.4074534886002082,0.40591484266529126,0.001782418797978295,13
11.835269880294799,0.7443548233277174,1.1398286819458008,0.06911029445524496,0.2,7,200,"{'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__max_iter': 200}",0.4049876399754213,0.40761660130066585,0.4028758876413692,0.4066405958087915,0.4074534886002082,0.40591484266529126,0.001782418797978295,13
11.797792530059814,0.8126922673661938,1.13810076713562,0.08613761184729242,0.2,7,300,"{'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__max_iter': 300}",0.4049876399754213,0.40761660130066585,0.4028758876413692,0.4066405958087915,0.4074534886002082,0.40591484266529126,0.001782418797978295,13
