Cluster,Fatal,Serious,Slight
0,0.013240578135258295,0.2543491127130895,0.7324103091516522
1,0.02362620229785805,0.2519168805417636,0.7244569171603783
2,0.024576575741064907,0.29961396227727477,0.6758094619816604
3,0.05252359458350431,0.32734919983586375,0.620127205580632
