Cluster,Speed_limit,Hour,Number_of_Vehicles,Is_Dark,Bad_Weather,Wet_Road,Is_Rural,At_Junction,Road_Type
0,30.859699677556023,12.426515438177756,1.7800815650660897,0.06305607032318783,0.017228275458358804,0.11204685625208198,0.06994155905058522,0.7225720486026889,5.294992577643669
1,41.093881173394735,13.477265277078187,1.7747955194166607,0.41092801803746615,0.9989925883284162,0.9390995658535415,0.4288695401885299,0.5334244801036195,5.178167949917248
2,32.82966810030025,19.41608606438599,1.7461772991270679,0.9999884072755938,0.03310882090400065,0.25713822005309467,0.17225629195117145,0.6829389874914503,5.266621068617336
3,56.7046231705649,12.788423836228514,1.9082888797702093,0.20226941138923085,0.0186135047645101,0.23157456800255324,0.9626077144029545,0.31995737017279896,5.004376966215292
