mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__penalty,param_model__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5915.860698032379,1802.080618570375,2.3517662525177,0.4146288860006305,0.01,l1,liblinear,"{'model__C': 0.01, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.41938547947895133,0.4188128394771078,0.420844111596252,0.41967669018413806,0.420904833069973,0.4199247907612844,0.0008239514474092928,10
175.7181606769562,34.681044344304375,1.9021329879760742,0.15042702450181414,0.01,l1,saga,"{'model__C': 0.01, 'model__penalty': 'l1', 'model__solver': 'saga'}",0.38327268913303975,0.38163440808554894,0.38091966085823986,0.3836322411820638,0.38237848043176825,0.38236749593813213,0.0010052581886686575,20
221.808367395401,19.222441200975087,1.9642313957214355,0.13818887804388874,0.01,l2,liblinear,"{'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.4194227668860037,0.419636369095715,0.4212887616947763,0.42068513830418275,0.4212041499236128,0.42044743718085814,0.000780349099915101,8
386.79700646400454,24.271723107495607,2.3481446743011474,0.2583287101600219,0.01,l2,saga,"{'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'saga'}",0.38325415485394204,0.38200963175783675,0.38139176409836173,0.3839063927522664,0.38288046143839444,0.3826884809801603,0.0008924643915191626,19
11534.63117928505,165.11409981988703,1.0103770732879638,0.1713159946393582,0.1,l1,liblinear,"{'model__C': 0.1, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.4192565168518714,0.419787310112657,0.421409582518029,0.4204765700941899,0.421218263745593,0.42042964866446814,0.0008213674925353169,9
700.5686264038086,202.83890891572415,2.5170249462127687,0.11918132396377747,0.1,l1,saga,"{'model__C': 0.1, 'model__penalty': 'l1', 'model__solver': 'saga'}",0.3833261367446463,0.3820065290221602,0.3814972287198504,0.38399702022233084,0.38295493986172763,0.38275637091414305,0.0009001083671293354,11
370.87743029594424,33.71987066590597,2.4901198387145995,0.7129955472134567,0.1,l2,liblinear,"{'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.4195309195876065,0.41994574100707543,0.42121544350552903,0.4205398274941204,0.42139489707406924,0.4205253657336801,0.0007151767874820994,1
1453.2443671703338,33.89067927689098,2.0383777141571047,0.21707382772552286,0.1,l2,saga,"{'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'saga'}",0.38333022970267056,0.3818446699406021,0.38138344285245857,0.38400858829757945,0.38303197321121424,0.38271978080090496,0.0009677556361482773,12
10879.740248680115,223.1635524430449,0.9139305591583252,0.12521172353332863,1.0,l1,liblinear,"{'model__C': 1, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.41961064936882736,0.41991193495873497,0.42107413728018495,0.42053043504686144,0.4212298567226524,0.42047140267545224,0.0006318111659737084,7
3886.897055006027,10.871455397296733,1.9802145957946777,0.18688932056397464,1.0,l1,saga,"{'model__C': 1, 'model__penalty': 'l1', 'model__solver': 'saga'}",0.38328819603064873,0.38181535906277464,0.38144986346882,0.38397085728733343,0.38304106569534296,0.38271306830898394,0.0009404207201765034,13
636.8528930187225,33.61652137428279,1.607583999633789,0.11091317742902988,1.0,l2,liblinear,"{'model__C': 1, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.4196798725326097,0.41995287947918386,0.4210976660788037,0.4204608695439598,0.4212760950246131,0.4204934765318341,0.0006217389436818898,2
1771.2018169879914,95.73842708973038,1.7926310062408448,0.16382834887381784,1.0,l2,saga,"{'model__C': 1, 'model__penalty': 'l2', 'model__solver': 'saga'}",0.3832935297313709,0.38179497431959525,0.3814037076502865,0.3839849835400844,0.383035141874929,0.3827024674232532,0.0009607492090936327,14
7388.448767328262,1011.8866863506446,1.2433330059051513,0.13033452775789442,10.0,l1,liblinear,"{'model__C': 10, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.41962686620436623,0.4199313430009864,0.421055874244653,0.4204501774782716,0.4213135441335547,0.4204755610123664,0.0006412611954271723,6
3969.8957206726072,10.317381578400468,1.8563246726989746,0.153128243128091,10.0,l1,saga,"{'model__C': 10, 'model__penalty': 'l1', 'model__solver': 'saga'}",0.3832890026654036,0.3817824006380381,0.38140732196805577,0.38396816611365714,0.3830222538769847,0.3826938290524279,0.0009562250439396472,15
892.5128934860229,145.4816187465783,2.242406797409058,1.2709817070731542,10.0,l2,liblinear,"{'model__C': 10, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.41965632060302793,0.41994038978538534,0.42106678049044355,0.4204767661428214,0.4212404411974046,0.4204761396438165,0.000615165837392003,5
3271.193750524521,7.3293184356622865,2.046525239944458,0.20820778713656507,10.0,l2,saga,"{'model__C': 10, 'model__penalty': 'l2', 'model__solver': 'saga'}",0.3832962299782175,0.38178603010366136,0.38139027548422216,0.3839675328814787,0.3830186202986701,0.3826917377492499,0.0009606275700795921,16
1613.670744895935,962.0202363374389,1.5180885791778564,0.23671840333756689,100.0,l1,liblinear,"{'model__C': 100, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.4196724446777469,0.41993509552848973,0.4210187434612755,0.420456709391567,0.4213135441335547,0.4204793074385268,0.0006220364740842739,4
3571.406751918793,90.84198657089286,1.1716207981109619,0.05565631023793617,100.0,l1,saga,"{'model__C': 100, 'model__penalty': 'l1', 'model__solver': 'saga'}",0.3832962299782175,0.38178659661885456,0.38138664894062857,0.3839675328814787,0.3830186202986701,0.38269112574356984,0.0009615042035252553,17
832.9506388664246,158.5601228718555,1.4694063186645507,0.170928536952946,100.0,l2,liblinear,"{'model__C': 100, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.4196451378067501,0.41994038978538534,0.42108496558410646,0.42048634760350206,0.42126089538075506,0.42048354723209974,0.0006267267980331993,3
2546.2765708446505,30.604482891549193,0.8586467742919922,0.08955416800867338,100.0,l2,saga,"{'model__C': 100, 'model__penalty': 'l2', 'model__solver': 'saga'}",0.3832962299782175,0.38178659661885456,0.38138664894062857,0.3839675328814787,0.3830186202986701,0.38269112574356984,0.0009615042035252553,17
