Cluster,Speed_limit,Hour,Number_of_Vehicles,Is_Dark,Bad_Weather,Wet_Road,Is_Rural,At_Junction,Road_Type
0,41.47380766223612,13.487170374582416,1.7832823939157012,0.4250479778235838,0.9990049043997441,0.9531594285308124,0.4424621508280617,0.5174497121330585,5.27251403795579
1,32.47851949768671,19.47620621282221,1.7379378717779246,1.0,0.03591099361092752,0.25479180436219434,0.16457369464639787,0.663802599691562,5.597708746419916
2,56.98008312193016,12.847573811194472,1.905867112862309,0.21644087008150267,0.019053273600690885,0.2391104873967723,0.971662978355913,0.275651751497814,5.278242564905273
3,36.601817210048104,12.641902725815072,1.8590058792089792,0.1476215927311598,0.056761090326028864,0.1556386958845537,0.20459647247461252,0.8149652592196687,1.9502939604489578
4,30.40264402333368,12.46622484553519,1.7712885299092196,0.060543301922612265,0.020089054571813193,0.11349280314797557,0.07472990231610921,0.708259984122053,6.036415726070898
